artist_name,artist_genre
Tom Waits,"folk, singer-songwriter"
Solo Artist Saxx,hip hop
Razorlight,britpop
Plain White T's,"modern rock, neo mellow, neon pop punk, pop punk, pop rock"
Broken Social Scene,"alternative rock, baroque pop, canadian indie, canadian indie rock, canadian rock, indie rock, noise pop"
Jessie Murph,"modern country pop, singer-songwriter pop"
James Morrison,neo mellow
Big Sean,"detroit hip hop, hip hop, pop rap, r&b, rap, southern hip hop, trap"
Bee Gees,"disco, mellow gold, soft rock"
Chuck Berry,"blues, blues rock, classic rock, rock, rock-and-roll, rockabilly, soul"
TOTO,"album rock, classic rock, hard rock, mellow gold, rock, soft rock, yacht rock"
Hans Zimmer,"german soundtrack, orchestral soundtrack, soundtrack"
Imogen Heap,"etherpop, metropopolis"
ZZ Top,"album rock, blues rock, classic rock, hard rock, rock"
Nick Drake,"british folk, folk, melancholia, singer-songwriter"
Colbie Caillat,"dance pop, neo mellow, pop"
Otis Redding,"classic soul, memphis soul, soul, soul blues, southern soul, vocal jazz"
Backstreet Boys,"boy band, dance pop, pop"
Megadeth,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal"
Wale,"pop rap, r&b, rap, southern hip hop, trap"
Leonard Cohen,"canadian singer-songwriter, melancholia, permanent wave, singer-songwriter"
Janis Joplin,"album rock, classic rock, hard rock, psychedelic rock, rock"
Natasha Bedingfield,"dance pop, pop, post-teen pop"
TV On The Radio,"alternative dance, alternative rock, brooklyn indie, chamber pop, indie rock, indietronica, modern rock, neo-synthpop"
Owl City,"indietronica, pop"
Sarah McLachlan,"canadian pop, canadian singer-songwriter, ectofolk, lilith, permanent wave, pop rock"
Klaxons,"alternative dance, dance-punk, indie rock, modern rock, neo-synthpop, new rave"
Groove Armada,"big beat, electronica, nu skool breaks, trip hop"
The Roots,"conscious hip hop, east coast hip hop, hip hop, philly rap, political hip hop"
Sean Paul,"dance pop, dancehall, pop, pop rap"
Michelle Duffy,show tunes
Billy Talent,canadian punk
Trey Songz,"dance pop, r&b, southern hip hop, trap, urban contemporary"
Sara Bareilles,"acoustic pop, ectofolk, lilith, neo mellow, pop rock, post-teen pop"
Grizzly Bear,"art pop, baroque pop, brooklyn indie, indie rock, neo-synthpop, new weird america"
Céline Dion,canadian pop
Matchbox Twenty,"neo mellow, pop rock, post-grunge"
Dave Matthews Band,"jam band, neo mellow, pop rock"
Faithless,"big beat, downtempo, electronica, trip hop"
Alice Cooper,"album rock, classic rock, detroit rock, glam metal, glam rock, hard rock, metal, protopunk, rock"
Slayer,"alternative metal, death metal, groove metal, hard rock, metal, old school thrash, rock, speed metal, thrash metal"
N.E.R.D,"hip hop, virginia hip hop"
Fiona Apple,"art pop, chamber pop, dark pop, lilith, permanent wave, piano rock, singer-songwriter"
Beirut,"albuquerque indie, baroque pop, chamber pop, indie rock, indietronica, stomp and holler"
Gotye,australian pop
Yann Tiersen,"compositional ambient, french soundtrack"
